month_key,rtl_yr,rtl_mo_nbr,rtl_mo_strt_dt
1,2016,1,5/31/15
2,2016,2,6/28/15
3,2016,3,8/2/15
4,2016,4,8/30/15
5,2016,5,9/27/15
6,2016,6,11/1/15
7,2016,7,11/29/15
8,2016,8,12/27/15
9,2016,9,1/31/16
10,2016,10,2/28/16
11,2016,11,3/27/16
12,2016,12,5/1/16
13,2017,1,5/29/16
14,2017,2,6/26/16
15,2017,3,7/31/16
16,2017,4,8/28/16
17,2017,5,9/25/16
18,2017,6,10/30/16
19,2017,7,11/27/16
20,2017,8,12/25/16
21,2017,9,1/29/17
22,2017,10,2/26/17
23,2017,11,3/26/17
24,2017,12,4/30/17
25,2018,1,5/28/17
26,2018,2,7/2/17
27,2018,3,8/6/17
28,2018,4,9/3/17
29,2018,5,10/1/17
30,2018,6,11/5/17
31,2018,7,12/3/17
32,2018,8,12/31/17
33,2018,9,2/4/18
34,2018,10,3/4/18
35,2018,11,4/1/18
36,2018,12,5/6/18
